SHA,URL,Parent,Independent,Pure,Operation,Location,Src,Dst
8b1e044236073b458a3b2d6b75c9f92358968a79,https://github.com/tensorflow/tensorflow/commit/8b1e044236073b458a3b2d6b75c9f92358968a79,https://github.com/tensorflow/tensorflow/commit/fa347823529e34050107f4981f3e24ec35a9cb8c,1,0,Reorder Parameter,"tensorflow/compiler/xla/python/xla_client.py
make_tuple","buffers, backend=None, device=0","buffers, device, backend=None"
4b57da4ced14a9d892cb8a4d92bf9d3ec911b27a,https://github.com/tensorflow/tensorflow/commit/4b57da4ced14a9d892cb8a4d92bf9d3ec911b27a,https://github.com/tensorflow/tensorflow/commit/d8b65d40358ee2acde556511ebf84a9ad50cbd47,1,1,Reorder Parameter,"tensorflow/python/ops/math_ops.py
 Method bincount",arr minlength=None maxlength=None weights=None dtype=dtypes.int32,arr weights=None minlength=None maxlength=None dtype=dtypes.int32
498f3f6cac1b903252d1c8e400e8adf5bd1c7d98,https://github.com/tensorflow/tensorflow/commit/498f3f6cac1b903252d1c8e400e8adf5bd1c7d98,https://github.com/tensorflow/tensorflow/commit/dfcbf51a70df996478515543319d68284429b3c6,1,1,Reorder Parameter,"tensorflow/python/ops/math_ops.py
 Method bincount",arr minlength=None maxlength=None weights=None dtype=dtypes.int32,arr weights=None minlength=None maxlength=None dtype=dtypes.int32
aa13538fdfc0dda14619426764c7c96544ee5209,https://github.com/scikit-learn/scikit-learn/commit/aa13538fdfc0dda14619426764c7c96544ee5209,https://github.com/scikit-learn/scikit-learn/commit/9aabbdb211c7e7bbab520ca1819ad9f06cbc7552,1,0,Reorder Parameter,"sklearn/cluster/k_means_.py
_mini_batch_step_dense","(X, batch_slice, centers, counts, x_squared_norms)","(X, x_squared_norms, batch_slice, centers, counts)"
761dde684aa3639532c18a251ec317c384483ad0,https://github.com/scikit-learn/scikit-learn/commit/761dde684aa3639532c18a251ec317c384483ad0,https://github.com/scikit-learn/scikit-learn/commit/b7f482bd3c6eaf87ccd59e5b2b3155ff4a9bbc25,1,1,Reorder Parameter,"sklearn/cluster/k_means_.py
_k_init","(X, n_clusters, n_local_trials=None, random_state=None, x_squared_norms=None)","(X, n_clusters, x_squared_norms, random_state, n_local_trials=None)"
6bf4b8e3865480e71f4aa16b6f1b5ffdb8009bae,https://github.com/scikit-learn/scikit-learn/commit/6bf4b8e3865480e71f4aa16b6f1b5ffdb8009bae,https://github.com/scikit-learn/scikit-learn/commit/6d4914df4b7f29abb7deb7fb7f7735f63c8f7a59,1,1,Reorder Parameter,"sklearn/isotonic.py
isotonic_regression",y weigh y_min y_max sample_weight,y sample_weigh y_min y_max weight
6bf4b8e3865480e71f4aa16b6f1b5ffdb8009bae,https://github.com/scikit-learn/scikit-learn/commit/6bf4b8e3865480e71f4aa16b6f1b5ffdb8009bae,https://github.com/scikit-learn/scikit-learn/commit/6d4914df4b7f29abb7deb7fb7f7735f63c8f7a59,1,1,Reorder Parameter,"sklearn/isotonic.py
fit",self X y weight sample_weight,self X y sample_weight weight
6bf4b8e3865480e71f4aa16b6f1b5ffdb8009bae,https://github.com/scikit-learn/scikit-learn/commit/6bf4b8e3865480e71f4aa16b6f1b5ffdb8009bae,https://github.com/scikit-learn/scikit-learn/commit/6d4914df4b7f29abb7deb7fb7f7735f63c8f7a59,1,1,Reorder Parameter,"sklearn/isotonic.py
fit_transform",self X y weight sample_weight,self X y sample_weight weight
ffdae0a35785337bd10fed289d3998ba0e7c014b,https://github.com/tensorflow/tensorflow/commit/ffdae0a35785337bd10fed289d3998ba0e7c014b,https://github.com/tensorflow/tensorflow/commit/37bfad3c33c005077630b021ca927608dd70bb3e,1,1,Rename Variable,"tensorflow/python/estimator/run_config.py
_init_distributed_setting_from_environment_var",_global_id,_global_id_in_cluster
fb3bcc39a5801eed9923765ada7992d3696ad9a4,https://github.com/tensorflow/tensorflow/commit/fb3bcc39a5801eed9923765ada7992d3696ad9a4,https://github.com/tensorflow/tensorflow/commit/0fe671dd0a14614edbbd50397777def3bff770cc,1,1,Rename Variable,"tensorflow/lite/python/convert.py
build_toco_convert_protos",allow_flex_ops,enable_select_tf_ops
fb3bcc39a5801eed9923765ada7992d3696ad9a4,https://github.com/tensorflow/tensorflow/commit/fb3bcc39a5801eed9923765ada7992d3696ad9a4,https://github.com/tensorflow/tensorflow/commit/0fe671dd0a14614edbbd50397777def3bff770cc,1,1,Rename Variable,"tensorflow/lite/python/convert.py
build_toco_convert_protos",force_flex_ops,force_select_tf_ops
fa10b3fafcf3831004d67d5b9dbdc8090243e9b6,https://github.com/tensorflow/tensorflow/commit/fa10b3fafcf3831004d67d5b9dbdc8090243e9b6,https://github.com/tensorflow/tensorflow/commit/6a22ad8f67f25a5a321ff6306ccbac4a3e33ee19,1,2,Rename Variable,tensorflow/lite/tools/flatbuffer_utils.py,TFLITE_FILE_IDENTIFIER,_TFLITE_FILE_IDENTIFIER
f8c14ec741b08d8b9920d3fcd016b974f7adb2b0,https://github.com/tensorflow/tensorflow/commit/f8c14ec741b08d8b9920d3fcd016b974f7adb2b0,https://github.com/tensorflow/tensorflow/commit/dc30240f53bcf1fa2098461b4c2c60d0805b4744,1,1,Rename Variable,"tensorflow/python/distribute/values.py
__init__",_var_policy,_policy
f8c14ec741b08d8b9920d3fcd016b974f7adb2b0,https://github.com/tensorflow/tensorflow/commit/f8c14ec741b08d8b9920d3fcd016b974f7adb2b0,https://github.com/tensorflow/tensorflow/commit/dc30240f53bcf1fa2098461b4c2c60d0805b4744,1,1,Rename Variable,"tensorflow/python/distribute/values.py
_is_mirrored",_var_policy,_policy
f4de1e737c914618e6fcefac5918fe73945ef9fb,https://github.com/tensorflow/tensorflow/commit/f4de1e737c914618e6fcefac5918fe73945ef9fb,https://github.com/tensorflow/tensorflow/commit/e50233ce00d6010801934b9ac02f1d57de415672,1,1,Rename Variable,"tensorflow/contrib/timeseries/python/timeseries/ar_model.py
__init__",_periods,_periodicities
f23830c990f02a92c58c78b5c9f5f39ecae08fca,https://github.com/tensorflow/tensorflow/commit/f23830c990f02a92c58c78b5c9f5f39ecae08fca,https://github.com/tensorflow/tensorflow/commit/bbbdd5327df7beb6b61f737a753334a599285acb,1,1,Rename Variable,"tensorflow/python/data/benchmarks/benchmark_base.py
_run_eager_benchmark",op_or_dataset,iterable
f0ee69ee30bcc65631e80768e47932bb871d640e,https://github.com/tensorflow/tensorflow/commit/f0ee69ee30bcc65631e80768e47932bb871d640e,https://github.com/tensorflow/tensorflow/commit/c7ca12518d4db68ec59bfbc04d93be07b361bfc8,1,1,Rename Variable,"tensorflow/lite/python/lite.py
__init__",experimental_new_quantizer,_experimental_new_quantizer
